Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_02622,22.79465463,22.51912559,22.72768867,22.56381352,22.7927895,22.64956845
serS,22.64899824,22.24583005,21.78536466,22.46879008,22.66264317,22.54236311
CCNA_00456,18.36696247,18.16260769,18.44685714,18.14070997,18.38936246,18.26746338
CCNA_00021,20.50067074,20.29647712,20.25176439,20.11451506,20.24179234,20.06210413
CCNA_00933,22.21400837,21.96902108,22.22629223,22.11257568,22.30844236,22.09277907
CCNA_01162,20.04046097,19.79013846,20.41544882,20.07143094,20.20406959,20.21584579
CCNA_01223,21.15251757,21.09126233,21.39231113,21.34873248,21.65110251,21.70927232
CCNA_01203,20.39801298,20.18894132,20.36954197,19.71337309,19.96507967,19.89508708
nagA,21.07313215,21.0105882,21.11337082,20.12034927,20.40499184,20.33057556
prfC,22.31193785,22.02052425,22.1577688,22.20588988,22.39513872,22.17609034
ppk1,18.84042758,18.71226502,18.56543682,17.62520941,17.78692047,17.65710906
CCNA_00849,23.14070997,22.94268846,23.05819458,22.63548875,22.7639928,22.52723931
CCNA_02106,20.33832291,20.19712548,20.31683393,18.79477756,18.93012515,18.72107248
gltX,22.84320263,22.70967199,23.08668632,22.55915206,22.78634222,22.64743998
CCNA_02365,19.78556422,19.67436815,19.83230595,19.54047241,19.76161291,19.82804969
CCNA_01966,18.93979727,18.79185603,18.43977408,17.92207331,18.06355308,17.72985969
CCNA_02914,23.54037781,23.40587481,23.76314184,22.39897849,22.40906458,22.23195591
CCNA_03752,22.65119012,22.68373911,23.0789404,22.76040322,23.00441183,23.19457292
CCNA_03146,22.08683207,21.95631376,22.47266209,22.11158909,22.24161779,22.18071047
trpB,22.61907723,22.5834354,23.04094585,22.72702384,22.91557453,22.96736841
CCNA_03735,23.09658005,22.91550159,22.29038677,22.54639618,22.62963143,22.50273567
asd,23.29502003,23.23197055,23.26713757,22.93526075,23.15230094,23.22281848
amn,22.66383777,22.52425283,21.987944,21.7057758,21.84525267,21.63670604
CCNA_00565,22.95888189,22.81934726,23.0593339,22.7080095,22.9701101,22.78504531
CCNA_00610,20.22635104,20.03858682,20.14370208,19.73453102,19.91948604,19.65900986
recJ,19.52336286,19.3829617,19.47016633,19.1774536,19.40528276,19.33437805
CCNA_00424,22.35761858,22.24649707,22.89964088,22.80842927,23.07332832,22.95095024
CCNA_00995,20.10738056,20.14395114,20.78292784,21.49935737,21.83799743,22.00192355
CCNA_01737,19.8491149,19.63928771,19.12497447,19.29068487,19.42662922,19.21856797
ntrX,20.09171429,19.48138557,17.94763694,19.66845914,19.73406787,19.34596393
CCNA_02558,21.62024131,21.49628816,21.66639739,21.72471535,22.00846966,21.94199037
CCNA_02387,22.10539958,22.01750304,22.37761301,22.34057926,22.56031884,22.42524152
CCNA_02093,19.14273032,19.11938698,19.35986107,18.8289794,18.68838692,18.8414415
CCNA_02384,22.52418108,22.33968258,22.19925417,22.04846559,22.26261448,22.1344564
CCNA_02754,22.4070945,22.29333693,22.65276621,22.65081773,22.90864696,22.85929439
dgcB,22.24609109,22.25640797,22.65573859,22.21053461,22.52367872,22.67908487
uvrB,18.70647578,18.63200829,18.85650456,18.92500382,19.22898305,19.07038304
srp,20.1954443,19.84972579,19.08667013,19.36035416,19.54768156,19.10855508
CCNA_03382,21.6423144,21.36201443,21.57731633,18.4313915,19.02631811,18.81287296
gcvT,23.52049304,23.42188197,24.22574817,23.64899824,23.89013288,23.94055735
nadE,20.59586935,20.36420734,19.86369023,19.90038924,20.01113442,19.51701189
CCNA_03777,21.24974077,21.09551807,21.35955012,21.31633678,21.59003143,21.37188297
fadJ,21.22057671,21.16962167,21.59636995,21.32942628,21.67955741,21.80990155
hisS,22.18143862,22.00775138,22.086994,21.84176396,21.9930683,21.8573022
rho,21.7315262,21.83992036,21.08686446,20.08770627,19.95928883,19.91826346
gatA,23.46874037,23.44139107,23.70746193,23.37092575,23.58543113,23.62711704
yidC,21.53179074,21.03173889,18.94240569,20.60123034,20.69846051,20.14693654
astD,23.05731884,22.9718824,23.59137899,22.48438827,22.83832451,22.69962583
CCNA_00395,19.62045611,19.52152376,20.20633714,19.73254507,19.99341388,19.95432697
infB,19.69907083,19.5245685,19.46047989,19.94506656,20.17755093,19.8629188
argD,24.17949608,23.74652908,23.7581679,23.54616064,23.96507967,23.62667155
CCNA_01021,19.10131402,18.85863063,19.17177297,17.85233443,18.10646071,17.85349232
CCNA_00831,17.84598001,17.83102266,18.01503386,17.79506305,18.09367546,18.02144633
CCNA_01122,21.18519485,20.72858155,20.46313718,21.04566902,21.31429115,20.95851024
CCNA_00617,22.54248119,22.33363582,22.75170668,21.32865959,21.81440723,21.53317001
acrB3,19.83821292,19.61943551,19.14631509,19.03171197,19.12945912,18.95699432
CCNA_01353,20.37283956,20.26109405,20.49101144,20.2862464,20.4080021,20.36932896
CCNA_01368,22.12145637,22.05715355,21.78328763,21.33619925,21.57463972,21.61706026
glyA,23.59912013,23.55496725,24.21051975,23.88072994,24.16507321,24.16798465
CCNA_01019,19.10015926,18.97625644,19.2507009,18.63197277,18.69937589,18.74126288
pepA,23.28404463,23.20970204,22.79861498,22.7069563,22.8018741,22.5637437
CCNA_01856,19.6566902,19.41330149,19.64812933,19.34130164,19.47644957,19.35043854
glnA,24.62839703,24.65796386,23.91579333,24.00590274,24.17249343,24.07398201
CCNA_02459,21.12313122,21.04839907,21.43451014,20.98704191,21.29423483,21.1154679
CCNA_02357,23.46188906,23.30799788,23.07184007,22.58281548,22.71531855,22.62974259
CCNA_02662,22.29010549,22.1601718,22.40763913,22.13574059,22.29229804,22.167265
CCNA_03431,21.30134213,21.11572189,21.30463207,20.97260123,21.1601718,21.12666415
argH,21.64535235,21.48207527,21.36297758,20.93041395,21.06071968,20.71791401
CCNA_02933,22.28582324,22.84865656,22.69606335,19.77906846,19.74333551,19.67923954
CCNA_03097,21.38495445,21.24661304,22.0953893,22.24153051,22.43756109,22.41397804
CCNA_03177,19.06144503,18.92977852,18.92616277,18.97969313,19.20983885,18.86918415
CCNA_03675,19.71630705,19.51115424,19.11697845,19.47064299,19.59360996,19.41567576
CCNA_03603,21.12981125,20.94284951,20.96098612,20.99293004,21.21163406,20.94120239
CCNA_03247,20.25753057,19.96972377,19.70223695,19.8007451,19.87055436,19.47949214
CCNA_03358,24.90559303,24.79733895,24.89407132,24.67793509,24.79550702,24.71894879
tyrS,22.56890059,22.42565131,22.6244867,22.45161359,22.57230517,22.44606961
rpsB,24.18472585,23.92469944,22.94479855,23.43669731,23.50530663,23.19765045
podJ,18.97194203,18.75763091,18.41827265,18.12797418,18.22298353,18.02890968
argG,23.47122371,23.44303661,23.21612712,23.04146398,23.1683673,23.11721314
hutU,21.48266618,21.46702437,21.81005851,22.65685165,22.84157203,22.8373623
lepA,22.80084778,22.51060386,22.80126234,22.20827366,22.39372562,22.33810524
purH,21.97952568,21.84617136,22.26447696,21.77390383,21.93969686,21.79618065
CCNA_00200,23.46749709,23.43936321,24.14289233,23.48086809,23.79233277,24.05597943
CCNA_00466,21.46941129,21.05721967,19.80410581,20.98704191,21.08128318,20.55655844
CCNA_00544,24.02833642,23.90499617,24.38640248,24.40028221,24.63942462,24.38040346
CCNA_00851,22.30318319,22.14544461,21.72687837,21.27110506,21.40296416,21.17243239
iolC,20.29681317,20.18119594,20.15672008,19.76618271,19.92462696,19.67207308
CCNA_01100,19.81387511,19.49673677,19.6270814,19.71516771,19.94191876,19.58216771
rsaFa,20.90646493,20.66301252,20.46662616,21.26258581,21.40322428,21.18343912
parC,18.63371188,18.58332521,16.68483079,17.42979901,17.42537984,17.21589317
bamB,22.65431873,22.62203036,22.6894239,22.07867986,22.28508948,22.25649435
CCNA_01759,22.52974318,22.20448756,22.6979093,22.51532832,22.5513337,22.38821704
hisD,20.95162622,20.9252067,21.48885611,21.16134105,21.40898686,21.41694387
CCNA_01936,20.64209401,20.62854166,21.17047769,21.04959599,21.32739914,21.41627387
CCNA_03148,20.77313921,20.59258843,20.84712771,20.59249719,20.62604765,20.58150587
CCNA_03184,20.59850691,20.4773393,20.73966526,20.40997095,20.6771071,20.41162684
CCNA_02054,21.98172196,21.89226561,21.21649721,21.52185919,21.59176703,21.29569272
CCNA_02627,21.81241079,21.68739619,22.2529772,21.99424293,22.0284376,22.14777507
CCNA_02616,22.27420865,22.22784976,22.98648649,23.68153183,23.83980505,23.85823223
edd,21.40358836,21.42352425,21.35159277,20.89578235,21.10322377,21.32536914
gcvPB,24.07732753,23.97622497,23.699647,23.41170441,23.5644184,23.30577343
CCNA_03102,21.12420463,21.00161436,21.25804839,21.30541163,21.43099354,21.35643692
CCNA_03504,21.1464394,21.05543338,21.30072792,21.14525801,21.2831969,21.26470603
acrB,19.96084475,19.84004334,19.37030853,19.29777606,19.40057929,18.95996798
CCNA_03032,20.39613229,20.25465036,19.57505538,19.95999627,20.04126343,20.31429115
