Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_01493,19.14073493,19.13370415,19.8113057,19.58398623,19.83040379,19.9354586
CCNA_02220,17.65445423,17.54675884,17.48179943,17.58321502,17.89421383,18.1993081
CCNA_02230,19.79938598,19.5207376,19.80744297,20.07051407,20.24701887,20.27991431
CCNA_01645,19.58745158,19.59856143,19.85550118,19.55781144,19.88604781,19.77280104
CCNA_02340,23.15718284,23.14376435,23.45613379,23.30730311,23.36639693,23.18087737
CCNA_01818,20.74681608,20.60648112,20.12351016,19.98787463,20.14904747,19.74042311
CCNA_02336,17.24172252,16.94660934,17.04153082,17.13841181,17.26563336,17.27403229
CCNA_02686,19.26785196,19.43560923,19.98314949,19.4768253,19.7758578,19.85402524
CCNA_02471,19.82402954,19.61345856,19.74499475,19.6009038,19.84902324,19.81486093
CCNA_02832,20.89681723,20.66986083,20.95851024,20.69344952,20.98738893,20.90212777
CCNA_02614,21.58426156,21.24701887,21.00566292,21.99589962,22.12524571,21.96500919
carA,21.64715448,21.55037103,21.3704469,20.99631349,21.14525801,20.97575283
CCNA_02588,21.07685473,20.93301054,21.13683595,20.58508724,20.88211164,20.63475788
CCNA_02094,19.50782947,19.21240614,20.03402515,19.71664198,19.92598899,19.89001781
CCNA_02112,21.35632945,21.32476508,21.50557317,21.4157067,21.62064404,21.56174103
CCNA_02687,21.0722818,20.98189612,21.28883905,20.73586999,20.92672743,20.62122556
CCNA_02693,19.45191538,19.24734345,19.58516061,17.97348437,18.14434955,17.9403136
CCNA_02751,19.17484768,18.68154041,17.68729366,18.52565844,18.60501645,18.23990614
CCNA_03124,19.55052135,19.4476846,19.74279296,19.52583046,19.84200959,19.51937518
CCNA_02792,16.40667006,16.19389107,16.42482239,15.39432871,15.83407595,15.5977907
CCNA_02242,23.43007476,23.22168329,23.33292598,23.1263333,23.22776164,23.06900651
CCNA_03207,21.20687366,21.01916719,21.58829374,21.32454536,21.51763671,21.41110958
CCNA_03503,23.504337,23.2572428,23.51074872,23.32868698,23.49167208,23.26327379
CCNA_02385,18.39686396,18.09279843,17.0382117,17.24293217,17.4362398,17.16142716
CCNA_02539,19.02418196,18.91531922,19.50269198,19.26423641,19.51406677,19.39005557
CCNA_03483,19.43884057,19.17284743,18.68349498,19.46604857,19.70843056,19.49171612
CCNA_03602,17.65116384,17.43298224,17.1164455,17.43175875,17.50105966,17.47024578
nusG,23.0294153,22.82669666,22.83843993,22.44523617,22.66659243,22.77627559
CCNA_03856,19.72723579,19.65095356,19.70630714,19.49944496,19.77236613,19.79653715
CCNA_03007,18.56394847,18.43953062,18.88926034,19.07715473,19.27148127,19.27200551
chpT,21.48512568,21.33832291,22.13288877,21.69837572,22.03553612,21.96066803
amgK,19.13886173,19.15110575,19.8154865,19.42026866,19.60496217,19.75505708
CCNA_03655,19.63571458,19.35638319,19.61084823,19.83085249,20.01916719,19.92141966
CCNA_03677,18.06833744,17.97163336,18.51128939,18.35440436,18.51148243,18.48443744
purU,21.24405949,21.03241169,20.91910773,20.05761632,20.24225769,19.98036275
CCNA_03396,16.77416934,16.29731037,16.42467479,16.06202505,16.29879648,16.18115226
coxB,23.52324799,23.39936973,22.99305101,22.7745474,22.90857367,22.67527741
ubiE,19.87835931,19.57243008,19.45123124,19.58715854,19.90775621,19.72653749
trpC,20.02769546,19.94120239,20.74689806,19.91657344,20.16790811,20.35659812
glk,20.82842164,20.80978383,21.01842026,20.03012288,20.19364086,20.22846643
kup,19.69331339,19.37903139,18.33158179,18.78155182,18.89166506,18.40681951
rpsG,23.87492733,23.8322905,22.91852553,23.2527174,23.33155992,22.81197983
CCNA_00024,19.48567603,19.18345123,19.37898907,19.31614893,19.43589404,19.18090468
CCNA_00061,16.44111241,16.18623033,16.88667303,16.60111788,16.95265026,16.79118833
CCNA_00323,19.80383787,19.75552984,18.97112813,19.22870128,19.53018151,19.30481029
CCNA_00399,19.79652131,19.68877961,19.70526114,19.48483076,19.72245735,19.73758735
CCNA_00167,21.59718873,21.3121318,21.64706663,21.44131508,21.60471791,21.38189566
CCNA_00095,20.34819216,20.14805448,20.27719203,20.11337082,20.35917474,20.26361765
CCNA_00136,19.41765476,19.15898928,18.82559858,18.88085696,18.96211653,18.66250844
CCNA_00188,20.17389669,19.66961866,19.29131462,19.7277676,19.87244944,19.67765771
chvG,17.12262581,16.72307428,16.34360214,16.97857641,17.00492268,16.5814507
CCNA_00529,18.59863411,18.2280201,18.35677004,18.74507684,18.89172438,18.7706897
CCNA_00326,21.38041667,21.2342678,21.43568043,20.86105661,21.03550256,20.90198051
phoH,18.71662524,18.62217339,18.20523961,17.6564109,17.8224588,17.42619922
tsaD,19.17255447,18.98681976,19.15229475,19.05856785,19.3023801,19.35498539
CCNA_00411,18.88124543,18.85401002,19.64018844,19.32139967,19.6225309,19.59319049
CCNA_00733,18.37585398,18.24558056,18.28342301,18.85911616,19.05475798,19.05925467
truB,19.26686888,18.96282259,19.13771164,18.73360458,18.97796184,18.92813086
gmd,22.18498306,22.23605041,21.95542714,21.8362646,22.09303708,22.13839931
CCNA_00212,20.02661529,20.04139713,19.70232152,19.60664377,19.71679267,19.74596313
CCNA_01351,18.62905774,18.09475812,17.89029991,18.60280758,18.94231977,18.75528533
CCNA_00728,18.19906841,17.85574448,18.08030748,18.1846623,18.46323698,18.35207792
ribA,20.47555929,20.33221579,20.33886693,20.4221387,20.71983665,20.68423154
cysD,17.62499531,17.2893345,16.31440622,17.03176581,17.21522963,16.97039803
CCNA_00483,20.14095955,20.15003978,20.93940991,20.48492907,20.70952476,20.71061812
CCNA_00507,23.42828656,23.12362067,22.59053406,22.87036246,22.98652121,22.71780944
gmd,21.03187348,20.86566985,21.15857024,21.33363582,21.51084528,21.16054114
CCNA_01640,18.04430873,17.97829709,18.61662063,18.0684949,18.4668651,18.34329851
CCNA_00562,21.23350734,21.01140745,21.20633714,20.9189622,21.09300484,20.9863476
CCNA_01367,19.38285618,19.22326642,19.65126897,19.27082,19.57172672,19.50916417
CCNA_01727,18.37504792,18.12166504,17.71799765,17.87225403,17.94946198,17.96302023
CCNA_01446,20.4077947,20.07796312,19.92452548,19.91299748,20.15486754,19.87677172
spt,21.95695179,21.49135403,21.65909699,21.81311573,22.04760056,21.72687837
CCNA_01241,19.21470805,19.01731953,19.98370619,19.3023801,19.57937119,19.45785778
CCNA_01490,16.32679812,16.47856425,15.82456103,15.60704128,15.95542288,15.90294032
hflX,17.42824566,17.18165699,17.40847902,17.28518545,17.47635067,17.2227949
tipF,18.10773813,17.95804288,17.34819216,17.47254806,17.61252298,17.12565562
CCNA_00752,22.43791662,22.27946096,21.88572765,21.97694164,22.04380163,21.83275406
CCNA_01556,20.3976997,20.20502478,20.45472902,20.00949515,20.17243239,20.02634513
CCNA_01585,16.24017642,15.9695664,16.27512421,16.26837752,16.42004245,16.46832175
rplC,23.23586056,23.24868447,22.3431304,22.78038678,22.90613459,22.74322455
CCNA_02005,18.74881524,18.62185156,18.87921229,18.49650273,18.67397152,18.48824812
CCNA_01670,19.86232861,19.68554956,19.45657501,18.94786519,19.11984288,18.94157494
CCNA_00859,18.73661333,18.43871877,18.23948665,18.75156367,18.95818452,18.93709791
CCNA_01465,16.47976448,16.1234748,16.11203218,15.87197741,16.06558443,15.85160266
nuoE,22.72190273,22.57186557,22.60474052,22.03738072,22.26060603,22.43384825
CCNA_01519,19.35874562,19.10985615,19.48081386,19.95943034,20.12464639,19.85778058
CCNA_01691,19.52194543,19.01083403,19.66233459,19.61636936,19.84725008,19.36975495
crbA,17.61511233,17.22919434,16.91111106,16.6617781,16.68112858,16.56691621
CCNA_02320,19.67172764,19.51302588,18.88801187,19.28204319,19.43393991,19.17499393
CCNA_02338,20.0120898,19.71328917,19.76946338,19.83713513,20.2721878,20.08446586
CCNA_02182,19.64962107,19.50127352,20.35261678,19.54997639,19.77877979,19.92876702
CCNA_01991,24.437523,24.16430606,24.48302306,24.13758657,24.30047657,24.01410086
CCNA_02224,19.53708187,19.15429895,19.28484669,19.33788754,19.4993671,19.52163878
dprA,19.28973974,18.87465722,19.09630337,18.66705609,18.88783343,18.62242366
fbp,19.8204657,19.67791574,20.53098159,19.9287092,20.07260891,20.15400221
secF,20.69166174,20.4077947,19.48416205,20.13520826,20.19520397,19.65252991
lysA,20.22470359,20.16164859,20.73611781,20.48138557,20.61423175,20.67305713
nuoI,21.4698584,21.27792983,20.94277793,20.61728451,20.78420669,20.36911592
CCNA_01554,16.42321442,16.27058734,16.86749594,16.57716326,16.82413834,16.4241991
CCNA_02530,18.24018574,18.25197237,18.81800166,18.80627899,19.08412844,19.19626112
CCNA_01688,18.68886496,18.54675884,18.60660763,18.68736201,18.80662514,18.60095823
CCNA_02287,19.48191765,19.45541151,19.67634968,19.36606603,19.63638743,19.73420022
CCNA_02251,22.30671924,22.04343453,22.42103444,22.22408531,22.4055892,22.20415917
CCNA_02619,20.33079436,20.0953249,19.65109375,20.65953258,20.55674553,20.18676714
CCNA_02633,17.3324562,17.1311938,17.40032912,16.96691095,17.16790811,16.9429497
trmFO,18.89873718,18.84168719,19.38448023,18.70488979,18.99136683,18.61187492
CCNA_02466,18.83426734,18.67145123,19.39487714,19.15471924,19.35043854,19.36794365
cpaE,18.34840831,18.28446266,18.13701113,17.46833766,17.61424973,17.48809118
CCNA_01941,18.56907681,18.49306579,18.96084475,19.0632634,19.44649372,19.67910206
pyrB,19.37090447,19.2467406,19.02926026,18.96592517,19.14815381,18.77921277
CCNA_03179,17.10942259,16.73912133,16.76991531,16.96172099,17.18785464,17.09290163
CCNA_02909,17.4254618,17.24757525,17.59957874,17.3610185,17.66975705,17.49841294
CCNA_03029,19.72494012,19.58869634,20.44778548,20.04660181,20.25511158,20.27537432
CCNA_03278,18.85184662,18.76451528,19.43725629,19.29142704,19.46636727,19.62504884
CCNA_02734,19.44881402,19.27246121,19.12547906,19.4530415,19.53330311,19.31756277
CCNA_02222,19.86070812,19.81867267,20.31628153,19.26380102,19.52840832,19.64211164
panC,19.49210746,19.49353495,20.26899423,19.7307222,19.97253112,20.09918341
CCNA_02895,16.15651765,16.05222839,16.23905772,15.46671378,15.5336035,15.37150441
CCNA_02961,20.07287056,20.01576893,20.72108917,20.37718934,20.62774048,20.61495063
CCNA_03557,23.06943272,22.83851687,23.23182411,22.78210799,22.96474486,22.79782378
dapB,20.57228203,20.45543158,20.79740822,20.59140182,20.83961286,20.60575801
cpaB,20.80025533,20.56820479,20.50426425,20.32256635,20.43338983,20.37326451
CCNA_03408,20.60602922,20.43695142,19.99382846,20.26441969,20.35477022,20.01508832
CCNA_03204,18.95469615,18.95205299,19.56035149,19.34583402,19.69749364,19.68855767
CCNA_03309,20.57431634,20.46692483,20.59176703,20.39477249,20.54754978,20.30741429
CCNA_02716,21.21020759,21.11381591,21.08809463,21.2319852,21.34846234,21.27537432
CCNA_02783,17.95060146,17.83676541,18.30919211,18.26306743,18.41423102,18.32364415
CCNA_02845,21.91199609,21.78763797,22.16946875,22.08063279,22.17894927,22.27400953
CCNA_03807,21.86003365,21.44712965,21.71330596,21.7909816,22.07903809,21.87049416
CCNA_02913,20.61880846,20.34721908,20.67115748,20.16300098,20.54113444,20.5274541
CCNA_03568,18.68855767,18.31393702,18.37873513,18.65336993,18.79509476,18.55393672
CCNA_03616,18.78854629,18.5672951,18.04206545,18.39460504,18.50210922,18.32491887
CCNA_03627,20.40914229,20.15239379,19.67136484,19.80736436,19.91482306,19.62535212
CCNA_03157,22.63745803,22.26192618,22.53791604,22.31653014,22.55065286,22.22920021
fabI,22.53160039,22.49088906,22.78650176,22.61047429,22.77476856,22.62811887
qor,19.67331598,19.42012471,19.81962403,19.60152054,19.66276919,19.47895917
CCNA_03834,15.85929212,15.78545247,16.06206722,16.18694603,16.32851716,16.31415836
hisF,20.02391134,19.93962512,20.73966526,20.20215731,20.44788635,20.48227227
lipA,19.0964578,18.84974106,19.02718248,18.49365221,18.68099128,18.33538163
clpP,24.03867054,23.88427488,23.37928,23.6180691,23.78236799,23.37092575
grpE,21.39173446,21.15462036,21.66683078,21.33352664,21.47620232,21.28325343
miaA,17.37559948,17.00404486,17.24506985,17.54525108,17.73885754,17.52779769
fmt,19.78235199,19.64177659,19.88443885,19.77733559,20.01916719,20.26109405
phoU,19.47407427,19.43338983,19.46750207,19.42898166,19.72035449,19.83503881
hslO,20.16790811,20.12641208,20.4208032,20.01249906,20.18712973,20.04259988
gpmA,21.68889057,21.56634768,22.23567069,21.81060772,21.99992983,22.06282878
rpiA,21.29316851,21.20699286,22.01372613,21.45372478,21.74476487,21.8247366
metXA,17.98870687,17.90136189,17.65109375,18.19652529,18.43689044,18.44746265
hmgA,20.86385656,20.76741182,20.36088994,21.08453074,21.30195607,21.11445152
murC,20.37845997,20.31052403,20.13696108,20.69515011,20.96958326,21.01923507
ctrA,21.28962719,20.88449848,20.62542347,21.08388181,21.38711279,21.4252159
rpsE,21.79657675,21.81021545,21.19868483,21.91477198,22.02712172,21.74796348
adk,21.90433473,21.71552804,22.54170165,21.67499737,21.96409264,21.87968345
argC,20.23221948,20.10571928,20.98447131,20.25372748,20.47248856,20.52181128
kduI,20.13169622,20.0996971,19.81984229,19.45837858,19.61457326,19.53584869
CCNA_00042,18.65032253,18.2517875,18.10005657,18.11212384,18.35013635,18.09954301
CCNA_00150,18.93942426,18.84971052,19.42814341,19.45338318,19.70495732,19.70848108
CCNA_00264,21.00237004,20.48483076,19.82055919,20.55018312,20.6205993,19.93862051
CCNA_00361,18.66660543,18.39519103,17.85257827,18.32228027,18.41352877,18.22005707
CCNA_00025,21.44682686,21.26716616,21.01672125,20.82096423,20.96458624,20.86710375
CCNA_00073,16.65312497,16.3759388,15.79151904,16.06999512,16.25255457,16.12359604
CCNA_00192,17.37898907,17.20533508,17.15570765,17.35870271,17.5228267,17.32456733
chvI,20.10136533,19.83845916,20.30496622,21.08634618,21.45738689,21.34098666
CCNA_00288,19.5153572,19.14397604,19.20781509,18.61302683,18.98161745,18.92590209
CCNA_00141,17.52412846,17.37687151,17.35199168,17.4103851,17.68578907,17.50416724
CCNA_00817,19.42906342,19.21915906,19.3091699,19.1899307,19.35164669,19.00250739
CCNA_00436,18.46299744,18.31985731,17.90659705,18.13946142,18.36849794,18.35457654
folE,20.6350237,20.52315225,20.11756194,20.56234678,20.57366937,20.46851666
CCNA_00255,19.75901366,19.60498026,20.32553384,20.09931185,20.32531424,20.23057872
CCNA_00261,20.04086226,20.0129082,20.48010384,19.79520577,20.23537854,20.14855106
CCNA_00543,21.54853785,21.30741429,21.47847537,21.31168846,21.51103839,21.49448257
CCNA_00358,20.06500058,20.11642012,19.96691095,20.16152558,20.39884805,20.25626398
CCNA_00379,22.14046034,21.98377577,22.10514378,21.95382984,22.16646837,21.91677752
CCNA_00201,19.43016666,19.16602084,19.18555784,19.54139916,19.81712732,19.54277873
CCNA_00206,20.94234841,20.81487657,21.36911592,21.8752649,22.05304821,21.72791713
CCNA_00060,21.37188297,21.17023316,21.96585473,21.54580725,21.81295911,21.77583369
CCNA_01218,19.90200997,19.53301788,19.73358803,19.65133905,19.86032924,19.77333241
flbD,17.46131957,17.09455196,16.40064599,17.12303015,17.17601727,16.97656412
hetN,20.2578758,20.03241169,20.06091754,19.82876252,20.06657801,19.9477796
CCNA_00566,18.34559583,18.30558976,17.85592694,17.68126587,17.70785788,17.66393329
CCNA_00636,22.58554575,22.58996288,22.88295121,22.11759364,22.08861228,22.06104943
CCNA_00667,17.36734649,17.12938365,17.12555473,17.0081003,17.14170803,16.97017331
CCNA_01056,18.49946443,18.35289691,17.06033707,18.35397382,18.38986657,17.88058796
CCNA_01463,19.47526241,19.36875369,19.68440278,18.73148477,19.03957775,19.22992189
flhA,17.43567026,17.33525077,16.72680355,16.68797705,16.79538018,16.61984742
CCNA_01245,19.73151792,19.51647336,19.79398425,19.42611731,19.67791574,19.65203967
CCNA_01278,20.84130328,20.60792626,21.22782039,20.77635592,21.03731369,20.85779576
CCNA_01562,23.93283038,23.82997043,23.40807987,22.07890783,22.26596522,22.01930295
CCNA_01674,17.69723909,17.47563845,16.92207331,17.17475017,17.31998958,16.92358283
CCNA_01174,18.49693178,17.92073665,16.62627942,18.37487816,18.60725806,18.2982237
CCNA_01745,22.58008003,22.22996295,22.48745833,22.34009023,22.66251279,22.37620914
plsX,21.15449675,20.74829114,20.75442106,20.48591183,20.53876866,20.06012593
CCNA_01814,17.48227227,16.91169626,16.07938061,17.04793333,17.33158179,16.85038221
CCNA_01211,19.76855912,19.44929779,19.64984908,19.48549916,19.64174132,19.48844427
CCNA_00871,18.9946849,18.87705642,19.55217375,19.23299233,19.5563152,19.62406719
hldD,18.87459719,18.5817449,17.99036992,18.54219305,18.68205502,18.58736001
CCNA_01728,20.58527066,20.31351637,19.97868812,20.16127953,20.19460298,20.13758657
CCNA_00912,17.03305729,16.88726822,16.67397152,16.91683582,17.12888042,16.87519739
CCNA_02095,20.61495063,20.69174693,21.07110355,20.4300237,20.79201496,21.17858462
CCNA_01603,22.30838681,22.21196076,22.87960868,22.22720344,22.52181128,22.54891408
lpxI,18.85929818,18.68828446,18.92155042,18.87192328,19.10082657,19.15605344
ftsX,18.93318348,18.55943684,18.4362398,18.40951524,18.58387608,18.14150847
CCNA_01915,18.782288,18.61356647,18.77487712,18.36422872,18.63661754,18.47555929
CCNA_01509,21.40364037,21.35029825,22.06861298,21.56755507,21.87511488,21.7194189
CCNA_02178,21.04986184,20.99989543,21.65665529,20.96437471,21.14898543,21.1260339
CCNA_02127,18.03772925,17.69771421,16.58317093,17.16113188,17.29203399,17.15580646
map,18.89003266,18.80967394,19.08407652,18.65853925,18.93148201,18.99970278
tgt,20.01821648,19.74599594,19.96409264,19.52997189,19.77866752,19.62242366
CCNA_02564,19.41866384,19.3904125,19.0777024,19.77046388,20.01222623,19.74399286
CCNA_02312,23.27824185,23.31437414,23.58611868,22.87068229,22.85439437,22.44177098
purC,18.87023828,18.63317972,16.82500845,17.69029814,17.71511742,17.55682035
CCNA_03294,20.52659475,20.31196556,19.9248299,19.9269156,20.07404736,19.61999066
CCNA_02688,19.68087113,19.55543543,19.52006615,19.03944388,19.21740871,18.92671295
ybgF,21.47635067,21.18912236,21.40701668,21.12218343,21.25164883,21.09744836
CCNA_02791,17.14240626,16.96002456,16.95571801,16.38803411,16.67782973,16.66094296
CCNA_03159,16.78851443,16.19550678,15.17086395,16.18561107,16.40301202,15.87084631
CCNA_02860,18.69869789,18.47223072,18.35689896,17.2131422,17.47951188,17.42070042
cleC,19.59966954,19.20301815,19.38845881,19.48915021,19.76836527,19.53318903
CCNA_02493,18.02853203,17.85117562,17.93018292,17.91040851,18.06613125,17.78634621
tacA,16.41508153,15.95843943,15.28308835,16.04642063,16.26945546,15.57899177
CCNA_03203,18.76175898,18.60852195,19.46133955,19.10768705,19.35414605,19.27887138
CCNA_03841,16.72932865,16.50827451,16.58824615,16.63778524,16.88452829,16.83429821
CCNA_03225,17.72806665,17.49216615,17.69873179,17.7234743,18.01965588,17.57548016
CCNA_03241,17.11867752,16.98637538,17.67397152,17.69778207,17.89474673,17.94014151
CCNA_03332,17.3027817,17.14100946,17.51883754,17.35827345,17.56636626,17.71993689
CCNA_03297,16.4007127,16.21541924,16.58033218,16.43345504,16.45696397,16.42598623
CCNA_03405,20.20096085,20.0959687,20.15548532,19.9507723,20.24016244,20.3536939
CCNA_03485,17.77088323,17.89746734,16.47888019,17.27221059,17.28807301,17.08856052
CCNA_03501,17.64272864,17.30206767,17.88667303,17.64181186,17.95600173,17.64512363
pdeA,17.06012593,16.74333551,17.01867833,16.71960273,16.93272226,16.95787289
CCNA_03532,18.31287409,18.01623156,17.73032418,17.98170106,18.10630734,17.56085524
asd,20.01372613,19.95404292,20.77988604,19.36866844,19.70817794,19.83918225
CCNA_03749,15.60107434,15.56316647,16.56215297,16.24933571,16.48685073,16.61468109
CCNA_03221,18.76991531,18.56580867,18.50866138,18.60714968,18.88691113,18.79376205
CCNA_03353,20.62229853,20.43949003,20.56560417,20.29165187,20.57892913,20.72542285
CCNA_03412,20.94363659,20.59258843,20.2462071,20.13357874,20.25925593,19.83179586
CCNA_03445,17.27202829,17.01508832,16.7538174,16.90677318,17.13270054,16.89012175
CCNA_03455,18.78366332,18.15679413,17.39774147,18.76810677,19.02580464,18.7691405
CCNA_03746,19.17755093,19.13991102,19.99658934,19.82787917,20.04646859,20.18483177
CCNA_03799,18.14260569,17.79892738,18.18209363,18.14295463,18.41621201,18.35775817
CCNA_03810,20.6575278,20.40686102,19.74313824,20.26785196,20.2934492,20.13921158
hisA,20.18555784,20.12136151,20.96289318,20.08485509,20.3095252,20.50707454
CCNA_03989,17.52932379,17.16201755,17.48487009,17.45595325,17.66323842,17.51583841
queA,18.35380157,18.10292914,18.78206398,18.45446799,18.65266995,18.47927503
rsmH,18.79087027,18.51495286,18.73314114,18.35728567,18.56903971,18.34056296
nadA,20.94984665,21.04640198,21.60127569,20.98891486,21.31301808,21.60159308
fliI,16.51093411,16.33749995,16.21822265,16.03600185,16.34552653,16.2904869
queC,18.43379732,18.29081984,18.80763164,18.85920717,19.10870821,18.98595864
rplD,23.08778718,22.82298776,22.21575693,22.69591472,22.74314235,22.21454206
rplE,23.52264953,23.44379546,22.60247687,22.93446908,23.02565259,22.79997878
thrB,20.06618381,19.58572911,20.07613709,19.94163225,20.23350734,20.04673502
hisG,20.05986197,19.88112591,19.35769374,19.54417585,19.55256779,19.20586005
pyrE,21.41322917,21.44268234,21.80049234,21.31854502,21.44495825,21.59946069
tal,22.63809912,22.54639618,22.18658581,21.99088923,21.98808274,21.924337
atpF,20.07326293,21.24626509,20.23456018,18.54897991,18.64424358,18.73773587
CCNA_00389,17.81083519,17.7234743,18.43118743,18.17167526,18.33634093,18.58640735
moaB,19.09204995,18.97354043,19.88478165,19.57546169,19.84651572,19.57124528
cpaL,18.71283595,18.48424074,18.52451111,18.22491551,18.35560919,18.13515815
CCNA_00220,22.37196271,21.96109213,22.35571134,22.40111597,22.67458798,22.20093092
CCNA_00452,17.71712749,17.48455545,17.74897899,17.45282036,17.63828035,17.44151772
CCNA_00485,17.40706856,16.92044591,17.41897259,17.32869246,17.48589219,17.38885816
rsmB,17.80530304,17.28401073,16.66553023,17.63005378,17.89906184,17.62991153
CCNA_01055,18.74461707,18.41059213,17.54758743,18.43798771,18.46730305,18.14469807
CCNA_00598,15.37795609,15.16164367,15.40942409,15.10177054,15.33650656,15.26894399
CCNA_00065,19.79446029,19.24421051,18.82752258,19.47891968,19.71285274,19.39005557
CCNA_00750,18.64786593,18.33131936,17.4019128,18.17074662,18.17767258,17.93784505
CCNA_00993,16.01661245,15.86549164,16.62285259,16.47051589,16.80712848,16.70184791
CCNA_00809,17.94877786,17.86344826,18.01840667,17.98192399,18.25989954,18.27034096
CCNA_00304,17.85623098,17.69363669,17.78513314,17.52993377,17.79087027,17.9638105
fixJ,20.27173201,19.9732321,20.33690749,20.17414059,20.38448023,20.39884805
CCNA_00350,17.71330596,17.11685158,17.13069121,17.42587152,17.50889346,17.28744185
rlmJ,17.00755293,16.66191724,16.94420875,17.6241386,17.83855149,17.86996729
CCNA_01188,17.25257304,16.87147213,16.76487159,16.3946804,16.47652472,16.64709298
CCNA_00388,21.04199863,20.8860627,21.15764546,20.65228481,20.60900916,20.47506445
CCNA_01634,17.52749228,17.54283539,18.115379,17.62941354,17.79290465,17.99661692
CCNA_01225,18.10630734,17.73131903,17.99147756,17.70387654,17.79690148,17.51051694
CCNA_01917,19.53846557,19.47191332,20.22670382,19.97743087,20.39749081,20.21974992
CCNA_01927,18.36345892,18.34641851,18.39091625,18.41212324,18.71742876,18.63342809
CCNA_01618,18.53160991,18.31243098,18.38709175,18.05996756,18.28382992,18.15486754
CCNA_01655,22.0229299,21.89965932,22.64706663,21.87075753,22.1189246,22.18368141
CCNA_01447,20.95992554,20.76174275,20.10520773,20.71473184,20.69447012,20.38879511
ompW,18.15610283,17.90171542,18.21849702,18.272894,18.47678575,18.29817894
ribH,20.70674557,20.6095503,20.8228322,20.12439397,20.38616563,20.44516038
CCNA_01491,19.96831805,19.81230894,19.72315763,19.76697528,19.99631349,19.7850533
flbE,17.19710148,17.07378593,17.13731139,16.75316451,16.76201862,16.83984349
CCNA_01559,19.45703613,19.28414632,19.59313577,19.16363985,19.3730733,19.26345719
fljJ,18.69142321,18.55966089,19.21575101,18.77799369,19.01731953,18.64765516
pgl,19.6217085,19.3793276,20.29367371,19.18976183,19.52962881,19.23860066
CCNA_02171,21.50794558,21.275488,20.88241021,20.81901585,20.86355413,20.51412457
CCNA_01619,19.70169565,19.46887458,18.67379904,19.05109739,19.12404051,18.85960151
thyA,19.1384868,18.93104911,19.49322219,19.46383565,19.74231602,19.63491738
CCNA_01598,16.9166026,16.79905391,17.12575651,17.01824365,17.18107459,17.21882808
CCNA_01956,21.52468327,21.27389574,21.33859494,21.06939994,21.23227804,21.04193181
CCNA_01996,20.08977632,19.69913863,19.84025853,19.61789428,19.80943844,19.447846
CCNA_02305,18.35397382,18.09553095,18.50858402,17.60906328,17.87489732,17.94695195
tonB1,22.11794235,21.93919466,21.82985433,21.17785503,21.40991917,20.95070112
CCNA_01929,19.66104738,19.35717826,20.02783042,19.45927952,19.56564135,19.78118359
CCNA_01416,20.73289281,20.72417408,21.1570903,20.50047624,20.70074788,20.70125569
anmK,17.31998958,17.06213048,17.91450193,17.75603502,17.79436509,17.74517534
lexA,18.35246592,18.02761447,17.82718141,17.56495328,17.82034104,17.7424805
CCNA_02426,17.1869847,17.02334286,16.83540897,15.50785657,15.59537405,15.77035418
CCNA_02225,17.64667121,17.53419648,17.20352007,16.96600969,16.93755773,16.92218948
CCNA_02738,18.95685256,18.9411164,19.12835185,18.69523509,18.91034995,18.66445423
CCNA_02240,19.90645025,19.54796391,19.74820923,19.89298446,20.15189852,19.86586615
CCNA_01673,16.76461246,16.74622563,16.09219967,16.47790053,16.59582566,16.18605619
CCNA_01678,21.63803281,21.42429343,21.6470227,21.54434567,21.77321971,21.58952863
CCNA_02806,17.06307904,16.74858597,17.0996971,16.59963685,16.84058125,16.66982624
CCNA_02211,16.64681181,16.25617182,15.00825353,15.77774332,15.82597737,15.63381829
CCNA_02335,19.54275984,19.20574076,19.84648511,19.54839674,19.68088829,19.68570354
CCNA_02650,18.81208954,18.66785305,19.29649953,18.91698156,19.12945912,19.20981506
CCNA_02416,25.75230918,25.42668807,25.69999112,25.45466,25.68351425,25.50803024
CCNA_02691,18.59134702,17.98409576,17.56539963,17.94540954,18.09758981,17.76227821
CCNA_02565,19.60072236,19.47367801,19.65287998,19.6596371,19.88039365,19.74915908
CCNA_02066,18.85273066,18.75522012,18.89362149,18.53119106,18.65270495,18.72254074
yajC,23.48357668,23.13382955,23.14690548,22.86317599,22.9581739,22.40090757
CCNA_02637,16.64244662,16.43996071,16.20878685,16.72999241,16.86411358,17.06423753
CCNA_02986,18.88530314,18.68616537,18.3023801,18.62238791,18.772495,18.59954242
CCNA_02657,20.37422018,20.38078656,20.54056701,19.94177551,20.1824089,20.16803057
CCNA_03243,16.11325381,16.00019811,15.78399576,15.67769212,15.87380455,15.76087585
CCNA_02702,19.05462551,19.01064283,18.95549099,18.68695185,18.95051603,18.84842733
CCNA_02207,20.45813823,20.49901667,19.83210503,18.53541208,18.93698293,17.86918415
CCNA_02809,15.26678654,15.19001754,14.76123956,15.24855767,15.34367153,15.03152891
CCNA_03190,18.96738952,18.97564089,19.16577556,18.90074301,18.99722359,19.06344775
CCNA_03524,22.14907849,21.93854873,21.5957328,21.50818745,21.63080924,21.38453293
CCNA_02342,18.22326642,17.86996729,17.66601591,17.66941106,17.96064682,17.69560893
